StackOverflowSatisfaction,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney
9,8,2,4,2,2,6,6,4,6,2,2,10,8,10,10,2
8,6,6,4,4,4,2,6,8,4,2,2,10,8,10,10,2
8,4,2,2,2,2,2,10,10,4,4,2,10,8,8,8,4
10,8,6,8,6,8,6,10,10,8,2,2,10,10,8,10,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,2,2,2,2,2,2,2,NA,NA,8,2,8,10,8,4
8,6,4,2,2,2,2,6,10,6,4,4,8,8,10,8,4
7,4,4,2,2,2,2,6,2,4,4,4,6,8,8,4,6
8,6,2,2,2,2,4,4,2,4,4,4,6,8,10,6,2
9,6,2,2,2,2,2,4,2,6,4,6,8,8,8,2,4
10,6,4,2,2,2,2,2,8,8,2,2,10,10,10,10,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,2,4,6,8,4,6,4,2,10,4,4,8,8,2,2
10,6,6,2,2,2,2,6,2,6,6,4,8,10,8,6,4
8,6,4,6,6,6,4,10,6,4,4,4,8,8,10,8,4
9,8,2,2,2,2,2,4,4,4,2,2,6,10,10,8,4
7,6,2,4,2,2,4,2,2,6,4,4,8,6,10,6,2
8,8,8,4,2,2,8,8,2,6,4,4,8,10,10,10,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,8,4,2,2,2,2,2,6,4,4,2,8,10,10,10,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,6,4,2,4,6,6,4,6,8,2,8,8,8,10,4
8,10,4,2,2,2,4,2,2,6,4,4,8,10,10,8,6
8,6,6,4,2,2,4,4,2,4,4,4,6,6,8,6,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
