Value    Count   Percent
      1    13299     52.09%
      2     1134      4.44%
      3       94      0.37%
      4       67      0.26%
      5      385      1.51%
      6      487      1.91%
      7      287      1.12%
      8      304      1.19%
      9      269      1.05%
     10       50      0.20%
     11     3716     14.55%
     12      865      3.39%
     13       21      0.08%
     14     3370     13.20%
     15       50      0.20%
     16       16      0.06%
     17     1060      4.15%
     18        5      0.02%
     19       52      0.20%

C =

    2.0000    2.0000    2.0000
    3.3457    4.4727    2.2416
    6.5745    8.1489    6.6596
    2.7463    8.8358    2.5373
    6.3377    6.0727    3.3714
    7.3922    3.2033    2.5544
    4.4948    5.8397    7.0314
    7.6711    2.9934    7.4145
    7.9257    7.2639    8.2974
    8.5600    7.8800    3.1200
    4.5797    2.8724    4.3821
    2.0000    2.3676    4.2497
    3.8095    8.0000    8.9524
    4.4297    2.0000    2.0000
   10.0000    6.2000    8.0400
    9.2500    9.8750    7.0000
    6.1698    5.4245    6.0000
    7.6000   10.0000   10.0000
   10.0000    9.5769   10.0000
